Neptune Element ,980000
Kalpataru Prime,390000
Technocity Premises Block B,234000
Technocity Premises Block A,234000
,100000
,2000
Bluechip Corporate Park,145655
Niharika Mirage,0
Vishwaroop IT Park,1000450
Mahaavir Icon,240000
Zion,0
The Corporate Park,133885
Arihant Aura - Block B,210870
Arihant Aura - Block C,572000
The Pacific,0
Business Bay,46640
Kamdhenu Commerz,0
Laksh Building,7200
empty,175500
Sai Sangam,132000
Everest Nivara Infotech Park I - Wing A,111042
Everest Infotech Park II,553511
Cyber One Business Park,162000
Shree Sawan Knowledge Park,304500
Haware Infotech Park,250500
G Square Business Park,54000
Progressive Sea Lounge,10250
Meridian Business Center,22000
Sagar Plaza,6500
Angruti,6200
Parth Solitaire,48000
Deekay Tech Park,97800
Gami Real Tech Park,86000
Rupa Solitaire,646000
empty,12000
Mahendra Yug Business Park,0
Mahendra Prominent Business Center,0
Everest Nivara Infotech Park I - Wing B,185366
Mayuresh Planet,0
Satyam Towers,100000
Sunteck Certainty,57640
Kesar Solitaire,246400
World Trade Centre - MVIRDC,527008
Phoenix Paragon Plaza,456000
Emgeen Chambers,14000
